,floor,url,price,title,community,location,community_c,community_loc,duration
836,中层/6层,http://sh.lianjia.com/zufang/shz3457667.html,3900,中原新村，地铁房，黄金楼层，温馨一室,中原新村,徐家汇,中原新村,"121.433911,31.183534",1377.0
630,低层/15层,http://sh.lianjia.com/zufang/shz3219089.html,3500,交通便利，链家房源，上门实勘，低楼层,肇嘉浜路669弄,徐家汇,肇嘉浜路669弄,"121.455005,31.200797",1381.0
711,高层/3层,http://sh.lianjia.com/zufang/shz3314909.html,3200,常熟路163弄，高区采光好，刚刚降价，链家好房,常熟路163弄,衡山路,常熟路163弄,"121.449087,31.215421",1383.0
949,高层/2层,http://sh.lianjia.com/zufang/shz3325026.html,3800,常熟路163弄，如您所见，1室0厅1卫，近地铁,常熟路163弄,衡山路,常熟路163弄,"121.449087,31.215421",1383.0
1923,高层/2层,http://sh.lianjia.com/zufang/shz3420082.html,2000,杨思路502弄，温馨一室，交通便利，采光无遮挡,杨思路502弄,三林,杨思路502弄,"121.494529,31.160785",1384.0
505,低层/3层,http://sh.lianjia.com/zufang/shz3343121.html,4000,平江路49弄，上下楼方便，上门实拍，放心好房,平江路49弄,斜土路,平江路49弄,"121.455810,31.200252",1405.0
946,中层/5层,http://sh.lianjia.com/zufang/shz3435458.html,2600,枫林新村，1室0厅0卫，光线充足，生活很便利,枫林新村,斜土路,枫林新村,"121.459584,31.191502",1409.0
1908,中层/5层,http://sh.lianjia.com/zufang/shz3409075.html,3800,上钢二村，温馨之家，空气清新，交通方便,上钢二村,世博,上钢二村,"121.493866,31.175850",1439.0
52,中层/6层,http://sh.lianjia.com/zufang/shz3389575.html,3800,上钢二村，黄金楼层，业主降价出租，交通便利,上钢二村,世博,上钢二村,"121.493866,31.175850",1439.0
1438,高层/5层,http://sh.lianjia.com/zufang/shz3377781.html,3500,上门实拍，交通方便，如您所见，温馨一室,上钢二村,世博,上钢二村,"121.493866,31.175850",1439.0
1894,中层/5层,http://sh.lianjia.com/zufang/shz3409075.html,3800,上钢二村，温馨之家，空气清新，交通方便,上钢二村,世博,上钢二村,"121.493866,31.175850",1439.0
1341,高层/5层,http://sh.lianjia.com/zufang/shz3377781.html,3500,上门实拍，交通方便，如您所见，温馨一室,上钢二村,世博,上钢二村,"121.493866,31.175850",1439.0
629,中层/3层,http://sh.lianjia.com/zufang/shz1859217.html,3000,1室0厅1卫，吉宅出租，稀罕南北通，近地铁,永康路109弄,建国西路,永康路109弄,"121.457144,31.210543",1444.0
521,中层/6层,http://sh.lianjia.com/zufang/shz3440799.html,4000,杨思路582号，南北通，小户型，好房好心情,杨思路582号,三林,杨思路582号,"121.495865,31.161341",1447.0
957,中层/5层,http://sh.lianjia.com/zufang/shz3378322.html,4000,天钥新村，空气清新，温馨之家，出行方便,天钥新村,万体馆,天钥新村,"121.446156,31.185706",1453.0
591,高层/5层,http://sh.lianjia.com/zufang/shz3419766.html,2800,天钥新村，地铁直达，采光好，温馨一室,天钥新村,万体馆,天钥新村,"121.446156,31.185706",1453.0
397,高层/5层,http://sh.lianjia.com/zufang/shz3207120.html,2500,天钥新村，上门实勘，生活很便利，人气房源,天钥新村,万体馆,天钥新村,"121.446156,31.185706",1453.0
588,高层/5层,http://sh.lianjia.com/zufang/shz3417117.html,3000,一室小户型，生活很便利，采光无遮挡，吉宅出租,天钥新村,万体馆,天钥新村,"121.446156,31.185706",1453.0
357,低层/6层,http://sh.lianjia.com/zufang/shz3415854.html,4000,徐虹路112弄，链家好房，生活很便利，温馨之家,徐虹路112弄,徐家汇,徐虹路112弄,"121.431303,31.189966",1459.0
396,中层/3层,http://sh.lianjia.com/zufang/shz3428511.html,3000,上门实拍，地铁直达，光线充足，热门房源,漕溪三村,万体馆,漕溪三村,"121.437316,31.170403",1474.0
35,高层/2层,http://sh.lianjia.com/zufang/shz3286504.html,4000,采光无遮挡，随到随看，近地铁，1室0厅1卫,安福路29号,衡山路,安福路29号,"121.447570,31.214926",1475.0
352,高层/6层,http://sh.lianjia.com/zufang/shz3392735.html,3000,世家小区，高清实拍，温馨之家，紧邻地铁,世家小区,建国西路,世家小区,"121.460859,31.208710",1475.0
1138,中层/6层,http://sh.lianjia.com/zufang/shz3395849.html,3800,德州一村，吉宅出租，上门实勘，交通便利,德州一村,世博,德州一村,"121.494808,31.169095",1476.0
